Model,shipping_container.g
Export Date,2026-08-17 16:34:42
Total Errors,53
Total Warnings,0
Total Passed,25

Severity,Test Name,Description,Object,Path
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_backpanel/container_corner_connection-525.r /all/shipping_container/container_frame/container_backpanel/doorframe_lower_lintel.r count:3 dist:1.54703mm @ (-2997 -1063.58 1595)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_frame/container_backpanel/container_corner_connection-501.r /all/shipping_container/container_frame/container_backpanel/doorframe_lower_lintel.r count:3 dist:1.54703mm @ (-2997 1062.03 1531)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_latch_lock1-rh-1094/container_latching_rod-1079/container_latch_01b.r /all/shipping_container/container_frame/container_door_latches/container_latch_09rh2.r_02 count:1 dist:1.75787mm @ (2987 767.262 1595)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_latch_lock1-rh-1094/container_latching_rod-1079/container_latch_01a.r /all/shipping_container/container_frame/container_doorframe/doorframe_upper_lintel/doorframe_upper_1.r count:1 dist:0.45137mm @ (2967.21 796 4283)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_latch_lock1-rh-1094/container_latching_rod-1079/container_latch_01a.r /all/shipping_container/container_frame/container_door_latches/container_latch_09lh2.r count:4 dist:19.05mm @ (2979.44 764 4315)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_doorhinge-989/container_doorhinge1.r_05 /all/shipping_container/container_frame/container_doorframe/container_frame_cornerpost/doorframe_cornerpost2_2.r count:3 dist:4.1mm @ (2963.57 1180 4091)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_doorhinge-1022/container_doorhingepin.r /all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r count:1 dist:11.0713mm @ (2987 1195.11 1723)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_doorhinge-1022/container_doorhinge1.r /all/shipping_container/container_frame/container_doorframe/container_frame_cornerpost/doorframe_cornerpost2_2.r count:2 dist:4.1mm @ (2963.57 1180 1755)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_doorhinge-1011/container_doorhinge1.r_07 /all/shipping_container/container_frame/container_doorframe/container_frame_cornerpost/doorframe_cornerpost2_2.r count:3 dist:4.1mm @ (2963.57 1180 2555)","all","/all",""
"ERROR","Overlaps cleared to gridsize with tolerance","/all/shipping_container/container_doors/container_doorb/container_doorhinge-1000/container_doorhingepin.r_06 /all/shipping_container/container_frame/container_doorframe/container_hinge_slot.r_011 count:1 dist:11.0713mm @ (2987 1195.11 3387)","all","/all",""
